route_id,service_id,shape_id,trip_headsign,trip_id
12783,2,12783,,CE15E0011.5.12783
12783,2,12783,,CE15E0011.6.12783
12783,2,12783,,CE15E0012.1.12783
12783,2,12783,,CE15E0012.2.12783
12783,2,12783,,CE15E0012.3.12783
12783,2,12783,,CE15E0012.4.12783
12783,4,12783,,CE15F0001.1.12783
12783,4,12783,,CE15F0001.6.12783
12783,4,12783,,CE15F0001.7.12783
12783,4,12783,,CE15F0002.1.12783
12783,4,12783,,CE15F0002.5.12783
12783,4,12783,,CE15F0002.6.12783
12783,4,12783,,CE15F0002.7.12783
12783,4,12783,,CE15F0002.8.12783
12783,4,12783,,CE15F0003.1.12783
12783,4,12783,,CE15F0003.5.12783
12783,4,12783,,CE15F0003.6.12783
12783,4,12783,,CE15F0004.1.12783
12783,4,12783,,CE15F0004.5.12783
12783,4,12783,,CE15F0004.6.12783
12783,4,12783,,CE15F0004.7.12783
12783,4,12783,,CE15F0005.5.12783
12783,4,12783,,CE15F0005.6.12783
12783,4,12783,,CE15F0005.7.12783
12783,4,12783,,CE15F0006.5.12783
12783,4,12783,,CE15F0006.6.12783
12783,4,12783,,CE15F0006.7.12783
12783,4,12783,,CE15F0007.5.12783
12783,4,12783,,CE15F0007.6.12783
12783,4,12783,,CE15F0007.7.12783
12783,4,12783,,CE15F0008.5.12783
12783,4,12783,,CE15F0008.6.12783
12783,4,12783,,CE15F0008.7.12783
12783,4,12783,,CE15F0009.3.12783
12783,4,12783,,CE15F0009.4.12783
12783,4,12783,,CE15F0009.5.12783
12783,4,12783,,CE15F0009.6.12783
12784,4,12784,,CE15F0001.2.12784
12784,4,12784,,CE15F0001.3.12784
12784,4,12784,,CE15F0001.4.12784
12784,4,12784,,CE15F0001.5.12784
12784,4,12784,,CE15F0002.2.12784
12784,4,12784,,CE15F0002.3.12784
12784,4,12784,,CE15F0002.4.12784
12784,4,12784,,CE15F0003.2.12784
12784,4,12784,,CE15F0003.3.12784
12784,4,12784,,CE15F0003.4.12784
12784,4,12784,,CE15F0004.2.12784
12784,4,12784,,CE15F0004.3.12784
12784,4,12784,,CE15F0004.4.12784
12784,4,12784,,CE15F0005.1.12784
12784,4,12784,,CE15F0005.2.12784
12784,4,12784,,CE15F0005.3.12784
12784,4,12784,,CE15F0005.4.12784
12784,4,12784,,CE15F0006.1.12784
12784,4,12784,,CE15F0006.2.12784
12784,4,12784,,CE15F0006.3.12784
12784,4,12784,,CE15F0006.4.12784
12784,4,12784,,CE15F0007.1.12784
12784,4,12784,,CE15F0007.2.12784
12784,4,12784,,CE15F0007.3.12784
12784,4,12784,,CE15F0007.4.12784
12784,4,12784,,CE15F0008.1.12784
12784,4,12784,,CE15F0008.2.12784
12784,4,12784,,CE15F0008.3.12784
12784,4,12784,,CE15F0008.4.12784
12784,4,12784,,CE15F0009.1.12784
12784,4,12784,,CE15F0009.2.12784
12785,1,12785,,CE1690001.1.12785
12785,1,12785,,CE1690001.3.12785
12785,1,12785,,CE1690001.5.12785
12785,1,12785,,CE1690001.7.12785
12785,1,12785,,CE1690002.2.12785
12785,1,12785,,CE1690002.4.12785
12785,1,12785,,CE1690002.6.12785
12785,1,12785,,CE1690003.2.12785
12785,1,12785,,CE1690003.4.12785
12785,1,12785,,CE1690004.1.12785
12785,1,12785,,CE1690004.3.12785
12785,1,12785,,CE1690004.5.12785
12785,1,12785,,CE1690004.7.12785
12785,1,12785,,CE1690005.2.12785
12785,1,12785,,CE1690005.4.12785
12785,1,12785,,CE1690005.6.12785
12785,1,12785,,CE1690006.1.12785
12785,1,12785,,CE1690006.3.12785
12785,1,12785,,CE1690006.5.12785
12785,1,12785,,CE1690006.7.12785
12785,1,12785,,CE1690007.2.12785
12785,1,12785,,CE1690007.4.12785
12785,1,12785,,CE1690007.6.12785
12785,1,12785,,CE1690008.1.12785
12785,1,12785,,CE1690008.3.12785
12785,1,12785,,CE1690008.5.12785
12785,1,12785,,CE1690009.2.12785
12785,1,12785,,CE1690010.1.12785
12785,1,12785,,CE1690010.3.12785
12785,1,12785,,CE1690010.5.12785
12785,1,12785,,CE1690011.2.12785
12785,1,12785,,CE1690011.4.12785
12785,1,12785,,CE1690011.6.12785
12785,1,12785,,CE1690012.1.12785
12785,1,12785,,CE1690012.3.12785
12785,1,12785,,CE1690012.5.12785
12785,1,12785,,CE1690013.2.12785
12785,1,12785,,CE1690014.1.12785
12785,1,12785,,CE1690014.3.12785
12785,1,12785,,CE1690014.5.12785
12785,1,12785,,CE1690014.7.12785
12785,1,12785,,CE1690015.2.12785
12785,1,12785,,CE1690015.4.12785
12785,1,12785,,CE1690016.2.12785
12785,1,12785,,CE1690016.4.12785
12785,1,12785,,CE1690016.6.12785
12785,1,12785,,CE1690017.1.12785
12785,1,12785,,CE1690017.3.12785
12785,1,12785,,CE1690017.5.12785
12785,1,12785,,CE1690018.2.12785
12785,1,12785,,CE1690019.1.12785
12785,1,12785,,CE1690019.3.12785
12785,1,12785,,CE1690019.5.12785
