agency_id,route_color,route_id,route_long_name,route_short_name,route_text_color,route_type
2,00ff00,10981,Corabastos,8-4,ffffff,3
2,00ff00,10990,Álamos ||  Portal 80,1-1,ffffff,3
2,00ff00,10991,Timiza ||  Banderas,8-6,ffffff,3
2,00ff00,10992,Banderas,8-6,ffffff,3
2,00ff00,10993,Timiza,8-6,ffffff,3
2,00ff00,10996,Tihuaque ||  Portal 20 de Julio,13-9,ffffff,3
2,00ff00,10997,San Isidro ||  Portal 20 de Julio,L820,ffffff,3
2,00ff00,10999,Garces Navas ||  Portal 80,1-2,ffffff,3
2,00ff00,11001,Arabia ||  Portal Tunal,6-5C,ffffff,3
2,00ff00,11002,Guaymaral ||  Portal Norte,B924,ffffff,3
2,00ff00,11003,Portal Tunal,6-5C,ffffff,3
2,00ff00,11004,Arabia,6-5C,ffffff,3
2,00ff00,11005,Resurrección ||  Portal 20 de Julio,13-13,ffffff,3
2,00ff00,11008,Libertadores ||  Portal 20 de Julio,13-12,ffffff,3
2,00ff00,11010,Roma ||  Portal Amércias,9-10,ffffff,3
2,00ff00,11011,San Joaquín ||  Portal Tunal,6-7,ffffff,3
2,00ff00,11015,Villas de Granada ||  Portal 80,1-3,ffffff,3
2,00ff00,11016,Castilla ||  Banderas,8-3,ffffff,3
2,00ff00,11018,Castilla ||  Banderas,8-3,ffffff,3
2,00ff00,11027,Mirandela ||  Portal Norte,2-1,ffffff,3
2,00ff00,11028,Mirandela,2-1,ffffff,3
2,00ff00,11029,Puente Guadua ||  Portal 80,1-8,ffffff,3
2,00ff00,11031,Avenida Tintal ||  Portal Américas,9-5,ffffff,3
2,00ff00,11032,Portal Américas,9-5,ffffff,3
2,00ff00,11033,San José ||  Portal Norte,2-7,ffffff,3
2,00ff00,11034,Quirigua ||  Portal 80,1-7,ffffff,3
2,00ff00,11035,San José ||  Portal Norte Ciclovía,2-7,ffffff,3
2,00ff00,11036,Quirigua ||  Portal 80,1-7,ffffff,3
2,00ff00,11037,Portal Norte,2-7,ffffff,3
2,00ff00,11038,San José,2-7,ffffff,3
2,00ff00,11040,Quirigua  ||  Portal 80,1-7,ffffff,3
2,00ff00,11042,Bosa Independencia ||  Portal Américas,9-7,ffffff,3
2,00ff00,11043,Porvenir ||  Portal Américas,9-8,ffffff,3
2,00ff00,11044,Porvenir,9-8,ffffff,3
2,00ff00,11045,Porvenir,9-8,ffffff,3
2,00ff00,11046,Bosa Santafé ||  Portal Américas,9-9,ffffff,3
2,00ff00,11048,Portal Américas,9-9,ffffff,3
2,00ff00,11051,Bosa Santafé,9-9,ffffff,3
2,00ff00,11054,Portal Américas,9-2,ffffff,3
